"ROI Name","Slice Number","X position","Y position","Mean 10mm","Mean 13mm","Mean 17mm","Mean 22mm","Mean 28mm","Mean 37mm"
"Lung Center","36","274.14777528386588","240.81505809347769","","","","","1557.7951960906514",""
"Background 13","42","269.50959310820349","324.29786807430349","15800.0705888625","15780.627907293105","15784.525825767329","15808.149096979112","15879.874425048703","15998.26693522397"
"Background 14","42","211.64421417767295","317.28835099228155","15308.462781375001","15335.170063643478","15359.967644","15366.956153686686","15523.777394228153","15797.509257208007"
"Background 15","42","179.46859622871759","298.04193922496626","16264.254514125001","16077.194757081081","15681.21395751515","15458.379625701848","15502.085333058534","15616.942683883744"
"Background 16","42","161.63170728662487","265.57390789968179","17195.3006569875","17138.96893346087","17059.699407192118","16964.160276617185","16830.064723175608","16639.258894693736"
"Background 17","42","170.98921028093284","229.02514620770407","16217.65884052","16302.863966945946","16363.236482369231","16325.794092448001","16171.388288725042","16032.971407039722"
"Background 18","42","192.19886701170853","197.3520677893581","15856.818338474997","15940.668400821431","15991.225233504951","15983.310978079366","15918.258797790922","15828.269225375245"
"Background 19","42","219.09084363844011","171.07586959063769","16052.621628671055","16003.551322035397","15921.241688000002","15877.976946593668","15891.761186032734","15907.049455528024"
"Background 20","42","272.53241694757349","159.6387410745491","15575.198315499998","15628.864574713043","15734.38354569458","15857.363388587466","15994.249112108764","16114.209503095006"
"Background 21","42","343.8044943004428","184.76957381527748","15194.881898240508","15219.323448345132","15331.905763999999","15499.035590328947","15686.827687675324","15840.802409537784"
"Background 22","42","384.23107276243394","263.69237322538015","16424.159660192308","16447.349825230089","16419.072065301978","16347.196836174144","16255.541217383494","16156.462489253689"
"Background 23","42","375.33544884034063","299.73133576431894","14862.865986645567","15026.690850801726","15342.536196148516","15615.178210327223","15719.808400371152","15776.779540007834"
"Background 24","42","345.56636576935051","321.62430928760608","15636.791923936713","15667.051390173916","15744.610620753696","15842.404394812502","15901.34289363415","15878.922578812135"
"Lung Center +2cm","42","274.14777528386588","240.81505809347769","","","","","1672.2835150835692",""
"Background 25","39","269.50959310820349","324.29786807430349","16639.734528374996","16619.25243939655","16381.837952227726","16100.774607571801","16068.376620454545","16207.561862131628"
"Background 26","39","211.64421417767295","317.28835099228155","17196.510001125","17242.745212000002","17258.843869601991","17201.593497989557","16977.146530631067","16647.324815830078"
"Background 27","39","179.46859622871759","298.04193922496626","16971.035357500001","16920.637567387384","16726.643207979796","16418.762408944589","16187.866147918699","16067.139971379311"
"Background 28","39","161.63170728662487","265.57390789968179","15903.080940249998","15989.582672000002","16135.382327586207","16266.733524453126","16246.808308130079","16249.077595547946"
"Background 29","39","170.98921028093284","229.02514620770407","16676.094836799999","16666.640587837839","16622.932830000002","16548.075575173334","16383.420800556463","16188.810727269116"
